rank,place,population,lat,lon
1,New York,8175133,40.7128,-74.0060
2,Los Angeles,3792621,34.0522,-118.2437
3,Chicago,2695598,41.876695,-87.6298
4,Houston,2099451,29.739107, -95.365013
5,Philadelphia,1526006,39.9526,-75.1652
6,Phoenix,1445632,33.445473, -112.073399
7,San Antonio,1327407,29.422864, -98.496184
8,San Diego,1307402,32.710157, -117.154192
9,Dallas,1197816,32.769208, -96.800611
10,San Jose,945942,37.3387,-121.8853
11,Jacksonville,821784,30.2887,-81.391794
12,Indianapolis,820445,39.766911,-86.149963
13,Austin,790390,28.973405,-95.961284
14,San Francisco,805235,28.371795,-82.187909
15,Columbus,787033,39.9612,-82.9988
17,Charlotte,731424,35.2271,-80.8431
18,Detroit,713777,42.408871,-83.002647
19,El Paso,649121,41.645415,-91.599794
20,Memphis,646889,35.149681,-90.04892
21,Boston,617594,42.3601,-71.0589
22,Seattle,608660,47.6062,-122.3321
23,Denver,600158,39.7392,-104.9903
24,Baltimore,620961,39.284664,-76.62022
56,Hartford,0,41.7658,-72.6734
56,Albany,0,42.65258,-73.756233
56,Nashville,0,36.1627,-86.7816
56,St. Louis, 0,38.627003,-90.199402
56,Salem, 0, 44.944099,-123.040283
56, Bismark,0,46.8083,-100.7837
57, Pierre,0,44.3688,-100.3538
58, Cheyenne,0,41.1400,-104.8202
59, Charleston, 0,38.3498,-81.6326
25,Washington,601723,38.899101,-77.028999
28,Milwaukee,594833,43.041809,-87.906837
29,Portland,583776,45.52186,-123.882594
30,Oklahoma City,579999,35.4676,-97.5164
31,Las Vegas,583756,36.1716,-115.1391
32,Albuquerque,545852,35.084179,-106.648643
33,Tucson,520116,32.2540,-110.9742
35,Sacramento,466488,38.915291,-121.594651
37,Kansas City,459787,39.016682,-96.864303
39,Virginia Beach,437994,36.767408,-76.047707
40,Atlanta,420003,33.7490,-84.3880
41,Colorado Springs,416427, 38.8339, -104.8214
42,Raleigh,403892,35.7796,-78.6382
43,Omaha,408958,41.260689,-95.94059
44,Miami,399457,25.7617,-80.1918
45,Tulsa,391906,36.1540,-95.9928
46,Oakland,390724,37.8044,-122.2712
47,Cleveland,396815,41.4993,-81.6944
48,Minneapolis,382578,44.979031,-93.264931
49,Wichita,382368,37.686981,-97.335579
51,Helena,0,46.5891,-112.0391
52,Boise,0,43.6150,-116.2023
53,Salt Lake City, 0,40.7608,-111.8910
53,Juneau,0,58.3005,-134.4201
54,Honolulu,0,21.3099,-157.8581
55, Jackson,0,32.2988,-90.1848
56, Montgomery, 0,32.3792,-86.3077
57, Frankfurt, 0,38.192902,-84.883942
58, New Orleans, 0,29.9511,-90.0715
59,Augusta,0,44.1838,-69.4646
59,Montpelier,0,44.260059,-72.575386
60, Concord,0,43.2081,-71.5376
